Rank,School System,State,Enrollment,Overall Total Percentage,Federal Total Percentage,Federal Title I,State Total Percentage,State General Formula Assistance,Local Total Percentage,Local Taxes Parent Government Contributions,Other Local Government,Charges
83,Denton County,Texas,53416,100,6.6,1,55.9,33.3,37.5,30.9,0,3.7
84,Riverside County,California,53257,100,5.3,0.7,15,11.1,79.7,74.4,0.1,3.9
85,San Bernardino County,California,53157,100,5.6,1.1,64.1,47.9,30.3,20.9,5.3,0.9
86,Bexar County,Texas,53152,100,10.7,3.9,77.5,62.2,11.8,5.9,4.1,0.2
87,Douglas County,Nebraska,52514,100,19.9,4.2,42.5,38.5,37.6,35.6,0.2,0.4
88,Fulton County,Georgia,52344,100,11.4,2.8,41,33.1,47.5,45.1,0.3,0.7
89,Klein,Texas,51927,100,8,3.5,19.6,12.5,72.4,56.5,2.5,0.9
91,Henrico County,Virginia,51425,100,7.8,2,43.7,32,48.5,45.6,0.4,2.1
92,Cumberland County,North Carolina,51194,100,14.4,3.2,63.2,62.2,22.4,19,0,1.7
93,Sedgwick County,Kansas,50600,100,11.3,3.6,69.3,53.9,19.4,14,2,0.9
94,Franklin County,Ohio,50331,100,10.4,4,26.2,19.6,63.4,53.6,1.2,0.7
95,Alameda County,California,49760,100,9.4,2.6,51.8,38.1,38.8,28.9,3,0.1
96,Nevada County,California,49255,100,6.9,2,64,48,29.2,24.5,0.5,1.2
97,Manatee County,Florida,48884,100,10.4,2.8,33.6,13.3,56,47.4,0.1,6
98,Jefferson Parish,Louisiana,48668,100,13,4.3,37.5,36.1,49.5,46,0.7,0.9
99,Charleston County,South Carolina,48551,100,8.2,2,30.5,5.4,61.4,52.6,3.3,1.8
